Source,Destination,Second,Packets,Bandwidth (Mbps),Avg Jitter (ms),Loss Rate (%)
2001:db8::6,ff38::5,1744086180,1359,18.09,0.320,0.0
2001:db8::6,ff38::5,1744086181,1310,15.55,0.425,0.0
2001:db8::6,ff38::5,1744086182,705,8.34,1.451,0.0
2001:db8::6,ff38::5,1744086183,712,8.47,1.493,0.0
2001:db8::6,ff38::5,1744086184,745,8.67,1.504,0.0
2001:db8::6,ff38::5,1744086185,753,9.03,1.399,0.0
2001:db8::6,ff38::5,1744086186,705,8.63,1.434,0.0
2001:db8::6,ff38::5,1744086187,719,8.43,1.564,0.0
2001:db8::6,ff38::5,1744086188,738,8.7,1.448,0.0
2001:db8::6,ff38::5,1744086189,705,8.4,1.522,0.0
2001:db8::6,ff38::5,1744086190,144,8.32,1.534,100.0
