Source,Destination,Second,Packets,Bandwidth (Mbps),Avg Jitter (ms),Loss Rate (%)
2001:db8::2,ff38::7,1744086849,125,6.23,0.695,0.0
2001:db8::2,ff38::7,1744086850,452,5.26,1.004,0.0
2001:db8::2,ff38::7,1744086851,451,5.25,1.203,0.0
2001:db8::2,ff38::7,1744086852,453,5.26,0.514,0.0
2001:db8::2,ff38::7,1744086853,451,5.25,0.581,0.0
2001:db8::2,ff38::7,1744086854,453,5.26,0.715,0.0
2001:db8::2,ff38::7,1744086855,452,5.25,0.711,0.0
2001:db8::2,ff38::7,1744086856,452,5.25,0.537,0.0
2001:db8::2,ff38::7,1744086857,452,5.25,0.506,0.0
2001:db8::2,ff38::7,1744086858,451,5.25,0.566,0.0
2001:db8::2,ff38::7,1744086859,331,5.26,0.447,100.0
