Source,Destination,Second,Packets,Bandwidth (Mbps),Avg Jitter (ms),Loss Rate (%)
2001:db8::6,ff38::5,1744086180,1359,18.09,0.294,0.0
2001:db8::6,ff38::5,1744086181,1310,15.55,0.411,0.0
2001:db8::6,ff38::5,1744086182,705,8.34,1.466,0.0
2001:db8::6,ff38::5,1744086183,712,8.47,1.498,0.0
2001:db8::6,ff38::5,1744086184,745,8.67,1.486,0.0
2001:db8::6,ff38::5,1744086185,753,9.03,1.387,0.0
2001:db8::6,ff38::5,1744086186,705,8.63,1.427,0.0
2001:db8::6,ff38::5,1744086187,719,8.43,1.545,0.0
2001:db8::6,ff38::5,1744086188,738,8.7,1.443,0.0
2001:db8::6,ff38::5,1744086189,705,8.4,1.512,0.0
2001:db8::6,ff38::5,1744086190,144,8.32,1.566,100.0
