run,mcfp_time,myalg_time,mcfp_throughput,myalg_throughput,compare_ratio
1,0.199255,0.000835,62.31,69.00,1.1074
2,0.191254,0.000700,54.29,65.00,1.1974
3,0.187307,0.000596,63.08,54.00,0.8561
4,0.191332,0.000637,75.74,74.00,0.9770
5,0.188270,0.000541,57.33,63.00,1.0988
6,0.195126,0.000731,54.59,67.00,1.2272
7,0.184387,0.000576,76.80,72.00,0.9375
8,0.175839,0.000522,98.00,98.00,1.0000
9,0.185974,0.000613,76.00,76.00,1.0000
10,5.423567,0.000565,62.10,55.00,0.8857
11,0.193079,0.000589,78.60,71.00,0.9033
12,0.196205,0.000463,62.22,52.00,0.8357
13,0.192320,0.000486,60.92,60.00,0.9848
14,0.189501,0.000611,77.14,61.00,0.7907
15,0.186471,0.000571,57.70,56.00,0.9705
16,0.196029,0.000602,56.95,52.00,0.9131
17,0.191798,0.000588,56.97,52.00,0.9128
18,0.183445,0.000706,85.12,89.00,1.0456
19,0.196966,0.000521,62.76,40.00,0.6374
20,0.197633,0.000585,55.89,57.00,1.0199
21,0.199532,0.000655,87.00,87.00,1.0000
22,0.190296,0.000725,72.94,82.00,1.1242
23,6.175897,0.000562,77.65,59.00,0.7598
24,0.212230,0.000511,58.36,40.00,0.6854
25,0.188636,0.000609,76.13,61.00,0.8013
26,0.193144,0.000621,72.87,65.00,0.8920
27,0.199620,0.000542,44.71,50.00,1.1184
28,0.181256,0.000672,80.27,81.00,1.0091
29,0.187863,0.000470,53.00,53.00,1.0000
30,0.186088,0.000579,80.00,53.00,0.6625
31,0.190884,0.000460,57.42,40.00,0.6966
32,0.183213,0.000526,49.60,40.00,0.8065
33,0.193522,0.000393,49.50,40.00,0.8081
34,0.200222,0.000474,68.89,55.00,0.7984
35,0.200126,0.000517,65.16,40.00,0.6139
36,0.197144,0.000653,68.94,56.00,0.8123
37,0.193827,0.000782,70.64,76.00,1.0759
38,0.186762,0.000608,57.54,61.00,1.0601
39,0.189411,0.000401,58.18,40.00,0.6875
40,0.186726,0.000596,47.69,55.00,1.1532
41,0.216753,0.000656,74.00,74.00,1.0000
42,0.202548,0.000649,52.12,60.00,1.1512
43,0.204432,0.000471,60.00,40.00,0.6667
44,0.203243,0.000606,57.85,59.00,1.0199
45,0.195436,0.000623,78.32,68.00,0.8683
46,0.186637,0.000711,64.00,70.00,1.0938
47,0.184106,0.000696,82.00,82.00,1.0000
48,0.191326,0.000721,54.00,61.00,1.1296
49,6.382472,0.000537,57.53,52.00,0.9038
50,0.198670,0.002091,55.52,66.00,1.1887
51,0.192401,0.000766,53.77,61.00,1.1345
52,7.039657,0.000575,75.75,53.00,0.6997
53,0.187836,0.000561,81.63,76.00,0.9310
54,0.184299,0.000605,52.96,63.00,1.1896
55,7.049084,0.000568,56.52,50.00,0.8846
56,0.194212,0.000632,57.24,65.00,1.1355
57,0.201240,0.000496,61.05,40.00,0.6552
58,0.192755,0.000557,59.14,46.00,0.7779
59,6.132711,0.000597,55.08,52.00,0.9440
60,7.754208,0.000591,55.87,52.00,0.9307
61,0.194725,0.000633,61.94,74.00,1.1948
62,0.199202,0.000578,65.52,77.00,1.1753
63,0.191926,0.000634,71.43,61.00,0.8540
64,0.185317,0.000625,59.75,65.00,1.0879
65,7.522488,0.000467,47.79,40.00,0.8370
66,0.195467,0.000450,58.00,40.00,0.6897
67,0.202482,0.000569,59.65,40.00,0.6706
68,0.191455,0.000625,68.09,63.00,0.9253
69,7.558264,0.000604,59.10,72.00,1.2182
70,0.199182,0.000592,80.00,70.00,0.8750
71,0.192060,0.000531,57.14,54.00,0.9450
72,0.187656,0.000428,57.78,40.00,0.6923
73,0.196612,0.000495,74.55,40.00,0.5366
74,0.213329,0.000655,82.73,72.00,0.8703
75,0.192518,0.000562,75.56,66.00,0.8735
76,0.196733,0.000584,71.55,67.00,0.9364
77,0.209171,0.000528,49.23,58.00,1.1781
78,0.199225,0.000723,54.00,61.00,1.1296
79,0.196327,0.000598,75.83,69.00,0.9099
80,0.191183,0.000481,74.00,72.00,0.9730
81,0.198445,0.000453,73.45,39.00,0.5309
82,0.209650,0.000563,73.08,57.00,0.7800
83,0.184807,0.000463,57.86,41.00,0.7086
84,0.186241,0.000494,56.77,40.00,0.7045
85,0.190392,0.000500,55.87,40.00,0.7159
86,0.188967,0.000613,80.00,80.00,1.0000
87,0.190216,0.000598,46.08,52.00,1.1286
88,0.192814,0.000423,45.71,40.00,0.8750
89,0.190423,0.000523,48.18,40.00,0.8302
90,0.187027,0.000628,59.65,68.00,1.1400
91,0.186723,0.000473,55.71,40.00,0.7179
92,0.195614,0.000606,65.40,77.00,1.1774
93,0.183729,0.000566,70.87,55.00,0.7760
94,6.421130,0.000599,66.80,73.00,1.0928
95,7.970606,0.000465,66.42,51.00,0.7679
96,7.282796,0.000591,75.00,50.00,0.6667
97,0.209254,0.000616,72.80,52.00,0.7143
98,0.206174,0.000459,72.31,40.00,0.5532
99,0.203490,0.000573,83.72,60.00,0.7167
100,0.180854,0.000546,88.00,88.00,1.0000
