run,mcfp_time,myalg_time,mcfp_throughput,myalg_throughput,compare_ratio
1,3.517550,0.000689,50.00,50.00,1.0000
2,0.129336,0.000413,68.00,68.00,1.0000
3,0.124659,0.000561,53.33,56.00,1.0500
4,0.142203,0.000411,61.00,61.00,1.0000
5,0.130416,0.000405,65.00,65.00,1.0000
6,0.120026,0.000428,52.00,52.00,1.0000
7,0.127374,0.000403,70.00,70.00,1.0000
8,5.063981,0.000514,51.43,52.00,1.0111
9,0.140102,0.000423,69.00,69.00,1.0000
10,0.125350,0.000421,52.00,52.00,1.0000
11,0.117253,0.000423,65.00,65.00,1.0000
12,0.125635,0.000560,63.00,62.00,0.9841
13,0.130269,0.000412,53.00,53.00,1.0000
14,0.127272,0.000418,58.00,58.00,1.0000
15,0.129284,0.000557,59.00,50.00,0.8475
16,0.127905,0.000427,58.00,58.00,1.0000
17,0.142522,0.000437,62.00,62.00,1.0000
18,0.147066,0.000418,73.00,73.00,1.0000
19,5.213857,0.000465,53.91,40.00,0.7419
20,0.121316,0.000436,67.00,67.00,1.0000
21,0.122845,0.000423,50.00,50.00,1.0000
22,0.123666,0.000431,58.00,58.00,1.0000
23,0.123308,0.000419,66.00,66.00,1.0000
24,0.133737,0.000442,63.00,45.00,0.7143
25,0.127812,0.000500,45.00,45.00,1.0000
26,0.130821,0.000427,73.00,54.00,0.7397
27,0.130291,0.000641,47.84,50.00,1.0451
28,0.132879,0.000437,58.00,58.00,1.0000
29,6.041594,0.000534,60.00,60.00,1.0000
30,0.123897,0.000426,61.00,49.00,0.8033
31,0.132446,0.000464,50.00,50.00,1.0000
32,0.133917,0.000414,56.00,56.00,1.0000
33,0.123420,0.000443,71.00,71.00,1.0000
34,0.130630,0.000410,65.00,50.00,0.7692
35,0.121021,0.000422,60.00,60.00,1.0000
36,0.131204,0.000584,54.47,57.00,1.0465
37,0.125839,0.000407,50.00,50.00,1.0000
38,0.133734,0.000553,54.22,52.00,0.9590
39,0.125754,0.000422,58.00,58.00,1.0000
40,0.122634,0.000411,56.00,56.00,1.0000
41,0.160870,0.000471,58.00,58.00,1.0000
42,0.131105,0.000417,65.00,46.00,0.7077
43,4.270588,0.000392,53.85,40.00,0.7429
44,0.132900,0.000411,65.00,65.00,1.0000
45,0.120908,0.000372,68.00,68.00,1.0000
46,0.120344,0.000409,58.00,58.00,1.0000
47,0.130092,0.000421,57.00,57.00,1.0000
48,0.146019,0.000461,48.70,45.00,0.9241
49,0.123308,0.000434,57.00,57.00,1.0000
50,5.202632,0.000470,51.54,55.00,1.0672
51,0.139466,0.000431,55.00,55.00,1.0000
52,4.702179,0.000378,54.78,40.00,0.7302
53,0.126282,0.000425,62.00,62.00,1.0000
54,0.126293,0.000424,64.00,64.00,1.0000
55,0.129399,0.000415,61.00,61.00,1.0000
56,4.739909,0.000521,50.57,54.00,1.0679
57,0.126758,0.000416,65.00,65.00,1.0000
58,0.128616,0.000414,61.00,61.00,1.0000
59,0.122696,0.000414,61.00,61.00,1.0000
60,0.136154,0.000411,58.00,58.00,1.0000
61,0.137278,0.000526,53.04,55.00,1.0369
62,0.125107,0.000410,58.00,58.00,1.0000
63,0.126486,0.000504,71.00,71.00,1.0000
64,0.131042,0.000463,49.09,40.00,0.8148
65,0.127064,0.000424,49.00,49.00,1.0000
66,0.127454,0.000391,67.00,67.00,1.0000
67,5.285229,0.000490,48.89,52.00,1.0636
68,0.123881,0.000417,59.00,59.00,1.0000
69,0.128901,0.000420,57.00,57.00,1.0000
70,0.133087,0.000412,62.00,62.00,1.0000
71,5.756362,0.000487,55.24,40.00,0.7241
72,0.128601,0.000447,64.00,64.00,1.0000
73,0.129206,0.000416,58.00,45.00,0.7759
74,0.133968,0.000578,55.00,55.00,1.0000
75,0.132096,0.000419,62.00,62.00,1.0000
76,0.131883,0.000425,61.00,61.00,1.0000
77,0.127300,0.000404,67.00,67.00,1.0000
78,0.130643,0.000427,64.00,64.00,1.0000
79,0.121096,0.000406,61.00,61.00,1.0000
80,0.128922,0.000413,63.00,63.00,1.0000
81,0.125041,0.000411,57.00,57.00,1.0000
82,0.132937,0.000427,54.00,54.00,1.0000
83,0.126066,0.000417,56.00,56.00,1.0000
84,0.131658,0.000427,64.00,64.00,1.0000
85,0.124082,0.000409,60.00,60.00,1.0000
86,5.907830,0.000527,55.32,58.00,1.0485
87,4.950829,0.000520,50.91,52.00,1.0214
88,0.129448,0.000394,72.00,72.00,1.0000
89,0.123994,0.000413,66.00,66.00,1.0000
90,0.120641,0.000395,56.00,56.00,1.0000
91,0.127265,0.000395,62.00,62.00,1.0000
92,0.119944,0.000412,68.00,68.00,1.0000
93,0.130261,0.000489,51.00,51.00,1.0000
94,0.124205,0.000396,63.00,63.00,1.0000
95,5.388221,0.000536,51.00,51.00,1.0000
96,0.131741,0.000414,49.00,49.00,1.0000
97,6.523662,0.000446,53.95,40.00,0.7414
98,0.131019,0.000441,58.00,58.00,1.0000
99,0.126908,0.000415,60.00,60.00,1.0000
100,0.129513,0.000540,54.00,47.00,0.8704
